id, name, fullAddress, priceRange, zipCode
185,Hero Doughnuts (Homewood),"3027 Central Ave, Homewood, AL, 35209",,35209
186,Wings Plus V &amp; Grill,"755 Shades Mountain Plaza, Hoover, AL, 35226",$$,35226
187,Wendy's  (213 State Farm Pkwy),"213 State Farm Pkwy, Homewood, AL, 35209",$,35209
188,Crown kitchen and Catering,"2017 Avenue F, Birmingham, AL, 35218",,35218
189,A-Wings (Montclair Rd),"1680 Montclair Rd, Irondale, AL, 35210",$,35210
190,The Purple Onion (Hoover),"1551 Montgomery Highway, Vestavia Hills, AL, 35216",$,35216
191,Wings R King (Birmingham/Tarrant),"3833 E Lake Blvd, Birmingham, AL, 35217",$,35217
192,Overtime Grill &amp; Bar,"100 Frankfurt Cir, Birmingham, AL, 35211",$$$,35211
193,B&amp;W Philly Steaks,"707 Richard Arrington Junior Boulevard South, 103B, Birmingham, AL, 35233",$$,35233
194,Onetaste,"833 Park Road, Pleasant Grove, AL, 35127",,35127
195,Dairy Queen Grill &amp; Chill (1349 Hueytown Rd),"1349, Hueytown, AL, 35023",$,35023
196,Steak-Out,"1717 28th Ave S, Birmingham, AL, 35209",$,35209
197,Jim ‘N Nick’s Bar-B-Q (Gardendale),"915 Odum Rd, Gardendale, AL, 35071",$$,35071
198,KFC (1800 20th Street Ensley),"1800 20th Street Ensley, Birmingham, AL, 35218",$,35218
199,Rodney Scott's BBQ (Birmingham),"3719 3rd Ave S, Birmingham, AL, 35222",$,35222
200,MrBeast Burger (2751 Allison-Bonnett Memorial Drive),"2751 Allison-Bonnett Memorial Drive, Hueytown, AL, 35023",$$,35023
201,O'Charley's (1709 Fulton Rd),"1709 Fulton Rd, Fultondale, AL, 35068",$$,35068
202,Wayback Burger (1801 4Th Avenue South Suite 103),"1801 4Th Avenue South, Birmingham, AL, 35233",$,35233
203,Zaxby's (2880 Allison-Bonnett Memorial Dr),"2880 Allison-Bonnett Memorial Dr., Bessemer, AL, 35023",$,35023
204,Captain D's (1141 Forestdale Boulevard),"1141, Forestdale, AL, 35214",$,35214
205,BK Clouds LLC,"1539 S Main St, Graysville, AL, 35073",,35073
206,Burger King (1484 Forestdale Blvd),"1484 Forestdale Blvd, Birmingham, AL, 35214",$,35214
207,Cracker Barrel Old Country Store (901 Fieldstown Road),"901 Fieldstown Road, Gardendale, AL, 35071",$,35071
208,McDonald's® (1309 FORESTDALE BLVD),"1309 FORESTDALE BLVD, BIRMINGHAM, AL, 35214",$,35214
209,Five Guys AL-1183 3345 Lowery Pkwy,"3345 Lowery Pkwy, Fultondale, AL, 35068",$,35068
210,Steel City Pops (2821 Central Ave),"2821 Central Ave, Homewood, AL, 35209",$,35209
211,Market Cafe,"808 20th St S, Birmingham, AL, 35205",$,35205
212,Velvet Kake LLC,"5831 1st Ave N, Birmingham, AL, 35212",$,35212
213,De Vinci's Pizza,"2707 18th St S, Birmingham, AL, 35209",$,35209
214,Home Plate Diner,"2780 Allison Bonnett Memorial Dr Ste 106, Hueytown, AL, 35023",,35023
215,Starbucks (20th Street and 3rd Ave.),"308 20th St South, Birmingham, AL, 35233",$,35233
216,Shiki Thai Sushi Restaurant,"3000 19th St S, Homewood, AL, 35209",$$,35209
217,Surin West,"1918 11th Ave S, Birmingham, AL, 35205",$,35205
218,Pink Balloon,"2801 7th Avenue South, Birmingham, AL, 35233",$,35233
219,Hickory Tavern (Brookwood Village),"595 Brookwood Vlg, Homewood, AL, 35209",,35209
220,Outback Steakhouse (1725 Fulton Road),"1725 Fulton Road, Fultondale, AL, 35068",$,35068
221,Dreamland BBQ (Birmingham),"1427 14th Ave S, Birmingham, AL, 35205",$,35205
222,Arby's (996 Forestdale Blvd),"996, Forestdale, AL, 35214",$,35214
223, Maki Fresh (Cahaba Village Plz),"2800 Cahaba Village Plz suite 145, Birmingham, AL, 35243",$,35243
224,Mr. Chen's Authentic Chinese Restaurant,"808 Green Springs Hwy, Homewood, AL, 35209",$,35209
225,Fried or Die Chicken (541-B Graymont Ave),"541-B Graymont Ave, Birmingham, AL, 35204",$,35204
226,Ranch Burger Co. (541-B Graymont Ave),"541-B Graymont Ave, Birmingham, AL, 35204",$,35204
227,541-B Graymont Ave,"541 Graymont Ave W, Birmingham, AL, 35204",$,35204
228,Juicy's Cheesesteaks (541-B Graymont Ave),"541 Graymont Avenue West, Birmingham, AL, 35204",$,35204
229,541-B Graymont Ave,"432 8th Avenue West, Birmingham, AL, 35204",$,35204
230,Starbucks (Magnolia City Place),"659 Fieldstown Rd, Gardendale, AL, 35071",$,35071
231,Copacabana Acai (541-B Graymont Ave),"541-B Graymont Ave, Birmingham, AL, 35204",$,35204
232,The Seafood King (Homewood),"180 State Farm Pkwy, Birmingham, AL, 35209",$,35209
233,"Tropical Smoothie Cafe (225 State Farm Parkway, Suite 101)","225 State Farm Parkway, Homewood, AL, 35209",$,35209
234,Subway (4024 Veterans Memorial Dr),"4024 Veterans Memorial Dr, Adamsville, AL, 35005",$,35005
235,Kale Me Crazy (Homewood),"1831 28TH AVE. SOUTH SUITE 106, Homewood, AL, 35209",$,35209
236,Farm Bowl Juice Co,"1920 29th Ave. S, Birmingham, AL, 35209",,35209
237,Corey's Restaurant (1800 24th St SW),"1800 24th St SW, Birmingham, AL, 35211",$,35211
238,Cici's Pizza (808 Greensprings Highway),"808 Green Springs Highway, Homewood, AL, 35209",$,35209
239,Hootie's Bait &amp; Tackle (1278 Oak Grove Road),"1278 Oak Grove Road, Birmingham, AL, 35209",$$,35209
240,Coop &amp; Run (1709 Fulton Rd),"1709 Fulton Rd, Fultondale, AL, 35068",$$,35068
241,"Honey Baked Ham (7001 Crestwood Blvd, Ste 114)","7001 Crestwood Blvd, Ste 114, Birmingham, AL, 35213",$,35213
242,KFC (1229 Forestdale Boulevard),"1229, Forestdale, AL, 35214",$,35214
243,"Church's Chicken  (1145 Third Avenue, West)","1145 Third Avenue, West, Birmingham, AL, 35204",$,35204
244,Hooters (Homewood),"1278 Oak Grove Road, Birmingham, AL, 35209",$$,35209
245,Maya Mexican Restaurant (Homewood),"308 Oxmoor Rd, Homewood, AL, 35209",$,35209
246,Umami,"2808 7th Avenue South, Birmingham, AL, 35233",,35233
247,Logan's Roadhouse 479 (3387 Lowery Parkway),"3387 Lowery Parkway, Fultondale, AL, 35068",$,35068
248,Popeyes Louisiana Kitchen (725 11Th Ct W),"725 11th Ct W, Birmingham, AL, 35204",$,35204
249,Applebee's (5 Points West),"2246 Bessemer Road, Birmingham, AL, 35208",$$,35208
250,Pizza Hut (2145 Bessemer Rd),"2145 Bessemer Rd, Birmingham, AL, 35210",$,35210
251,Krystal (219 Forrest Road),"219 Forrest Road, Hueytown, AL, 35023",$,35023
252,Papa Johns (2480 Palomino Lane),"2480 Palomino Lane, Forestdale, AL, 35214",$,35214
253,Taco Bell (1101 Forestdale Blvd),"1101 Forestdale Blvd, Birmingham, AL, 35214",$,35214
254,Walgreens (1551 Forestdale Blvd),"1551, Forestdale, AL, 35214",$,35214
255,Church's Chicken (1428 Forestdale Blvd),"1428 Forestdale Blvd, Birmingham, AL, 35214",$,35214
256,Winged Fate,"1100 Forestdale Boulevard, Birmingham, AL, 35214",,35214
257,Thirstea Tea (Pizitz),"120 19th St N, Birmingham, AL, 35203",$,35203
258,Exotic Wings &amp; Things,"208 Green Springs Avenue South, Birmingham, AL, 35205",,35205
259,Lisa's Rolled Ice Cream,"1450 Beauty Cir, Birmingham, AL, 35214",,35214
